player-1,player-2,player-3,avg
Al-Amin Hossain,Mosharraf Hossain,Mahmudullah,0
Al-Amin Hossain,Mosharraf Hossain,Tamim Iqbal,0
Al-Amin Hossain,Mosharraf Hossain,Soumya Sarkar,0
Al-Amin Hossain,Subashis Roy,Mosharraf Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Liton Das,0
Al-Amin Hossain,Shakib Al Hasan,Mosharraf Hossain,0
Al-Amin Hossain,Mustafizur Rahman,Mosharraf Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Anamul Haque,0
Al-Amin Hossain,Mohammad Naim,Mosharraf Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Sabbir Rahman,0
Al-Amin Hossain,Mosharraf Hossain,Shafiul Islam,0
Al-Amin Hossain,Mosharraf Hossain,Abul Hasan,0
Al-Amin Hossain,Mosharraf Hossain,Jubair Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Abu Jayed,0
Al-Amin Hossain,Mosharraf Hossain,Afif Hossain,0
Al-Amin Hossain,Imrul Kayes,Mosharraf Hossain,0
Al-Amin Hossain,Mosharraf Hossain,Mohammad Saifuddin,0
Al-Amin Hossain,Mosharraf Hossain,Najmul Hossain Shanto,0
Mashrafe Mortaza,Tanbir Hayder,Mosharraf Hossain,0
Sunzamul Islam,Tanbir Hayder,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Mosaddek Hossain,0
Tanbir Hayder,Mosharraf Hossain,Ariful Haque,0
Tanbir Hayder,Fazle Mahmud,Mosharraf Hossain,0
Tanbir Hayder,Arafat Sunny,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Rubel Hossain,0
Tanbir Hayder,Mehidy Hasan Miraz,Mosharraf Hossain,0
Tanbir Hayder,Taijul Islam,Mosharraf Hossain,0
Mahmudullah,Tanbir Hayder,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Tamim Iqbal,0
Tanbir Hayder,Mosharraf Hossain,Soumya Sarkar,0
Tanbir Hayder,Subashis Roy,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Liton Das,0
Tanbir Hayder,Shakib Al Hasan,Mosharraf Hossain,0
Tanbir Hayder,Mustafizur Rahman,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Anamul Haque,0
Tanbir Hayder,Mohammad Naim,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Sabbir Rahman,0
Tanbir Hayder,Mosharraf Hossain,Shafiul Islam,0
Abul Hasan,Tanbir Hayder,Mosharraf Hossain,0
Jubair Hossain,Tanbir Hayder,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Abu Jayed,0
Tanbir Hayder,Mosharraf Hossain,Afif Hossain,0
Tanbir Hayder,Imrul Kayes,Mosharraf Hossain,0
Tanbir Hayder,Mosharraf Hossain,Mohammad Saifuddin,0
Tanbir Hayder,Mosharraf Hossain,Najmul Hossain Shanto,0
Mashrafe Mortaza,Mosharraf Hossain,Sunzamul Islam,0
