,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
1577,Ariful Haque,Mohammad Saifuddin,Soumya Sarkar,Mushfiqur Rahim,145.0,86.37
1578,Ariful Haque,Imrul Kayes,Liton Das,Mushfiqur Rahim,143.0,112.44999999999999
1579,Ariful Haque,Imrul Kayes,Mohammad Saifuddin,Mushfiqur Rahim,143.0,95.66
1580,Imrul Kayes,Mehidy Hasan Miraz,Fazle Mahmud,Mushfiqur Rahim,145.0,92.44999999999999
1581,Mahmudullah,Fazle Mahmud,Imrul Kayes,Mushfiqur Rahim,144.5,107.13
1582,Mustafizur Rahman,Fazle Mahmud,Liton Das,Mushfiqur Rahim,71.5,70.6
1583,Imrul Kayes,Fazle Mahmud,Liton Das,Mushfiqur Rahim,188.0,112.44999999999999
1584,Fazle Mahmud,Mohammad Saifuddin,Liton Das,Mushfiqur Rahim,96.0,82.38
1585,Imrul Kayes,Mustafizur Rahman,Fazle Mahmud,Mushfiqur Rahim,145.0,83.88
1586,Imrul Kayes,Fazle Mahmud,Mohammad Saifuddin,Mushfiqur Rahim,169.5,95.66
1587,Mahmudullah,Arafat Sunny,Mushfiqur Rahim,Rubel Hossain,110.25,69.89999999999999
1588,Arafat Sunny,Tamim Iqbal,Mushfiqur Rahim,Rubel Hossain,134.2,89.02999999999999
1589,Soumya Sarkar,Arafat Sunny,Mushfiqur Rahim,Rubel Hossain,119.2,79.21
1590,Arafat Sunny,Shakib Al Hasan,Mushfiqur Rahim,Rubel Hossain,82.4,81.65999999999998
1591,Mustafizur Rahman,Arafat Sunny,Mushfiqur Rahim,Rubel Hossain,49.0,46.65
1592,Arafat Sunny,Sabbir Rahman,Mushfiqur Rahim,Rubel Hossain,84.8,66.3
1593,Abul Hasan,Arafat Sunny,Mushfiqur Rahim,Rubel Hossain,106.0,48.75
1594,Imrul Kayes,Arafat Sunny,Mushfiqur Rahim,Rubel Hossain,94.0,88.49999999999999
1595,Mahmudullah,Arafat Sunny,Tamim Iqbal,Mushfiqur Rahim,161.28571430000002,112.41
1596,Mahmudullah,Soumya Sarkar,Arafat Sunny,Mushfiqur Rahim,161.25,102.59
1597,Mahmudullah,Arafat Sunny,Shakib Al Hasan,Mushfiqur Rahim,125.6,105.03999999999999
1598,Mahmudullah,Mustafizur Rahman,Arafat Sunny,Mushfiqur Rahim,82.66666667,70.03
1599,Mahmudullah,Arafat Sunny,Sabbir Rahman,Mushfiqur Rahim,114.7142857,89.68
1600,Mahmudullah,Arafat Sunny,Abul Hasan,Mushfiqur Rahim,111.0,72.13
