player-1,player-2,avg
Mahmudullah,J Nyumbu,0
TK Musakanda,Mahmudullah,0
Mahmudullah,TP Kamungozi,0
Mahmudullah,KM Jarvis,0
Mahmudullah,S Matsikenyeri,0
CR Ervine,Mahmudullah,0
CJ Chibhabha,Mahmudullah,0
CT Mumba,Mahmudullah,0
CK Tshuma,Mahmudullah,0
Mahmudullah,T Muzarabani,0
Mahmudullah,Sikandar Raza,0
TS Chisoro,Mahmudullah,0
Mahmudullah,Mohammad Saifuddin,60
Mahmudullah,R Murray,0
B Muzarabani,Mahmudullah,0
T Maruma,Mahmudullah,0
Mahmudullah,CK Coventry,0
Mahmudullah,Taijul Islam,32
Mahmudullah,AG Cremer,0
CT Mutombodzi,BB Chari,14
SC Williams,CT Mutombodzi,47.25
DT Tiripano,CT Mutombodzi,55.5
CT Mutombodzi,TS Kamunhukamwe,48
CT Mutombodzi,Tamim Iqbal,0
CT Mutombodzi,PS Masvaure,0
CT Mutombodzi,Najmul Hossain Shanto,0
CT Mutombodzi,TL Chatara,0
CT Mutombodzi,ehidy Hasan Miraz,0
Liton Das,CT Mutombodzi,0
BV Vitori,CT Mutombodzi,0
E Chigumbura,CT Mutombodzi,28.5
Mushfiqur Rahim,CT Mutombodzi,0
LN Roche,CT Mutombodzi,0
Mustafizur Rahman,CT Mutombodzi,0
T Mupariwa,CT Mutombodzi,0
CT Mutombodzi,PJ Moor,0
C Zhuwao,CT Mutombodzi,0
CT Mutombodzi,RW Chakabva,38.5
CT Mutombodzi,Mohammad Mithun,0
BRM Taylor,CT Mutombodzi,33
R Mutumbami,CT Mutombodzi,37.4
MN Waller,CT Mutombodzi,12
Mashrafe Mortaza,CT Mutombodzi,0
CT Mutombodzi,CB Mpofu,0
CT Mutombodzi,J Nyumbu,17.8
TK Musakanda,CT Mutombodzi,0
TP Kamungozi,CT Mutombodzi,0
CT Mutombodzi,KM Jarvis,0
CT Mutombodzi,S Matsikenyeri,0
CR Ervine,CT Mutombodzi,42.83333333
CJ Chibhabha,CT Mutombodzi,35.75
CT Mumba,CT Mutombodzi,22.5
CK Tshuma,CT Mutombodzi,20.5
CT Mutombodzi,T Muzarabani,6
CT Mutombodzi,Sikandar Raza,46
TS Chisoro,CT Mutombodzi,17
