Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,AK Markram,AK Markram1,RR Hendricks,RR Hendricks2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,H Klaasen,H Klaasen5,K Zondo,K Zondo6,AL Phehlukwayo,AL Phehlukwayo7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,T Shamsi,T Shamsi11
won,Q de Kock,Q de Kock1,RR Hendricks,RR Hendricks2,AK Markram,AK Markram3,F du Plessis,F du Plessis4,H Klaasen,H Klaasen5,DA Miller,DA Miller6,AL Phehlukwayo,AL Phehlukwayo7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,L Ngidi,L Ngidi10,Imran Tahir,Imran Tahir11
lost,Q de Kock,Q de Kock1,RR Hendricks,RR Hendricks2,AK Markram,AK Markram3,F du Plessis,F du Plessis4,H Klaasen,H Klaasen5,DA Miller,DA Miller6,D Pretorius,D Pretorius7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,L Ngidi,L Ngidi10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,RR Hendricks,RR Hendricks2,AK Markram,AK Markram3,F du Plessis,F du Plessis4,DA Miller,DA Miller5,H Klaasen,H Klaasen6,D Pretorius,D Pretorius7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,L Ngidi,L Ngidi10,Imran Tahir,Imran Tahir11
lost,HM Amla,HM Amla1,RR Hendricks,RR Hendricks2,HE van der Dussen,HE van der Dussen3,DA Miller,DA Miller4,F du Plessis,F du Plessis5,AL Phehlukwayo,AL Phehlukwayo6,H Klaasen,H Klaasen7,K Rabada,K Rabada8,D Pretorius,D Pretorius9,D Olivier,D Olivier10,Imran Tahir,Imran Tahir11
won,RR Hendricks,RR Hendricks1,HM Amla,HM Amla2,HE van der Dussen,HE van der Dussen3,F du Plessis,F du Plessis4,DA Miller,DA Miller5,H Klaasen,H Klaasen6,AL Phehlukwayo,AL Phehlukwayo7,K Rabada,K Rabada8,D Paterson,D Paterson9,T Shamsi,T Shamsi10,D Olivier,D Olivier11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,RR Hendricks,RR Hendricks3,F du Plessis,F du Plessis4,HE van der Dussen,HE van der Dussen5,DA Miller,DA Miller6,AL Phehlukwayo,AL Phehlukwayo7,K Rabada,K Rabada8,BE Hendricks,BE Hendricks9,T Shamsi,T Shamsi10,DW Steyn,DW Steyn11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,RR Hendricks,RR Hendricks3,F du Plessis,F du Plessis4,HE van der Dussen,HE van der Dussen5,DA Miller,DA Miller6,AL Phehlukwayo,AL Phehlukwayo7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,BE Hendricks,BE Hendricks10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,RR Hendricks,RR Hendricks3,F du Plessis,F du Plessis4,HE van der Dussen,HE van der Dussen5,PWA Mulder,PWA Mulder6,AL Phehlukwayo,AL Phehlukwayo7,DW Steyn,DW Steyn8,K Rabada,K Rabada9,D Pretorius,D Pretorius10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,RR Hendricks,RR Hendricks2,F du Plessis,F du Plessis3,HE van der Dussen,HE van der Dussen4,DA Miller,DA Miller5,PWA Mulder,PWA Mulder6,D Pretorius,D Pretorius7,K Rabada,K Rabada8,A Nortje,A Nortje9,Imran Tahir,Imran Tahir10,L Ngidi,L Ngidi11
